vel	AoA	pos	tau	k	error

10	10	1	0.5537076006400908	0.7651093282995124	0.0432821708070951
10	6	1	2.27937362420418	6.3844708605503415	1.4592800444403022
10	10	2	0.35108283378945604	0.6766662501505407	0.033802013144754305
10	6	2	0.34465500874388094	0.4398916523023886	0.10065072916296794
10	10	3	0.26098090223251486	0.7475371562355304	0.07393479134572886
10	6	3	0.6502982972377608	0.9172205930270447	0.04431753208880531
15	0	1	0.315194580865321	0.1632996440828303	0.1720770951600126
15	10	1	2.034734756412091	1.0110087822367149	0.0679504781911848
15	6	1	0.7771610975089386	0.4100331237776211	0.21709234250741963
15	10	2	1.0697087293593832	0.8324245855471359	0.061277817229969264
15	6	2	2.772449233518786	1.3578740157480316	0.14355660012085145
15	10	3	0.4552500304853145	0.6792025638601394	0.006894292063575715
15	6	3	11.156765106605846	6.3844708605503415	0.12577502791542525
