Projekt Aerodynamik Übung CPM3
P_amb in [Pa]:  102415 T_amb in [K]: 297
Channel 1-3 HCL Druckdaten [V] 
3,233	3,264	3,247
3,235	3,264	3,244
3,235	3,262	3,244
3,232	3,257	3,249
3,234	3,265	3,245
3,225	3,262	3,240
3,231	3,269	3,243
3,232	3,265	3,239
3,232	3,262	3,239
3,232	3,260	3,248
3,230	3,262	3,249
3,227	3,268	3,245
3,230	3,269	3,245
3,233	3,260	3,248
3,234	3,267	3,249
3,229	3,264	3,250
3,237	3,268	3,248
3,235	3,270	3,245
3,233	3,263	3,245
3,233	3,272	3,244
3,228	3,262	3,242
3,232	3,260	3,248
3,232	3,261	3,248
3,230	3,259	3,243
3,229	3,265	3,248
3,231	3,257	3,247
3,229	3,260	3,248
3,235	3,262	3,247
3,233	3,265	3,245
3,233	3,265	3,250
3,236	3,262	3,248
3,225	3,259	3,248
3,230	3,265	3,250
3,232	3,265	3,245
3,231	3,266	3,248
3,227	3,261	3,240
3,230	3,266	3,247
3,230	3,256	3,248
3,229	3,267	3,245
3,232	3,267	3,245
3,227	3,263	3,243
3,229	3,262	3,242
3,229	3,269	3,248
3,229	3,267	3,242
3,230	3,267	3,246
3,232	3,269	3,242
3,233	3,266	3,243
3,229	3,263	3,240
3,237	3,261	3,248
3,229	3,256	3,247
3,230	3,259	3,242
3,230	3,267	3,250
3,233	3,265	3,250
3,232	3,262	3,247
3,234	3,268	3,248
3,236	3,260	3,249
3,230	3,259	3,249
3,232	3,267	3,252
3,232	3,262	3,245
3,232	3,265	3,246
3,234	3,266	3,252
3,233	3,261	3,241
3,229	3,267	3,248
3,232	3,262	3,245
3,232	3,272	3,250
3,232	3,262	3,248
3,234	3,265	3,247
3,231	3,266	3,247
3,229	3,269	3,249
3,229	3,265	3,247
3,232	3,266	3,250
3,232	3,263	3,245
3,228	3,271	3,243
3,233	3,266	3,248
3,230	3,260	3,247
3,232	3,264	3,243
3,234	3,262	3,245
3,234	3,262	3,247
3,231	3,257	3,248
3,228	3,270	3,253
3,232	3,267	3,247
3,232	3,260	3,248
3,238	3,260	3,248
3,237	3,260	3,245
3,232	3,259	3,245
3,227	3,260	3,243
3,227	3,259	3,245
3,229	3,262	3,248
3,231	3,262	3,247
3,229	3,265	3,243
3,232	3,262	3,238
3,235	3,261	3,245
3,232	3,262	3,249
3,232	3,265	3,249
3,232	3,265	3,249
3,237	3,260	3,245
3,234	3,267	3,242
3,231	3,261	3,246
3,237	3,257	3,242
3,232	3,262	3,245
3,228	3,264	3,247
3,224	3,262	3,240
3,230	3,267	3,241
3,232	3,264	3,245
3,237	3,262	3,242
3,232	3,264	3,248
3,231	3,265	3,243
3,232	3,265	3,247
